C:\Users\Lenovo\Desktop\UdacityVeriler\IMG\center_2024_05_01_22_07_26_170.jpg, C:\Users\Lenovo\Desktop\UdacityVeriler\IMG\left_2024_05_01_22_07_26_170.jpg, C:\Users\Lenovo\Desktop\UdacityVeriler\IMG\right_2024_05_01_22_07_26_170.jpg, 0, 0, 0, 7.77988E-05
C:\Users\Lenovo\Desktop\UdacityVeriler\IMG\center_2024_05_01_22_07_26_275.jpg, C:\Users\Lenovo\Desktop\UdacityVeriler\IMG\left_2024_05_01_22_07_26_275.jpg, C:\Users\Lenovo\Desktop\UdacityVeriler\IMG\right_2024_05_01_22_07_26_275.jpg, 0, 0, 0, 7.882965E-05
C:\Users\Lenovo\Desktop\UdacityVeriler\IMG\center_2024_05_01_22_07_26_377.jpg, C:\Users\Lenovo\Desktop\UdacityVeriler\IMG\left_2024_05_01_22_07_26_377.jpg, C:\Users\Lenovo\Desktop\UdacityVeriler\IMG\right_2024_05_01_22_07_26_377.jpg, 0, 0, 0, 7.799144E-05
C:\Users\Lenovo\Desktop\UdacityVeriler\IMG\center_2024_05_01_22_07_26_480.jpg, C:\Users\Lenovo\Desktop\UdacityVeriler\IMG\left_2024_05_01_22_07_26_480.jpg, C:\Users\Lenovo\Desktop\UdacityVeriler\IMG\right_2024_05_01_22_07_26_480.jpg, 0, 0, 0, 7.907057E-05
C:\Users\Lenovo\Desktop\UdacityVeriler\IMG\center_2024_05_01_22_07_26_584.jpg, C:\Users\Lenovo\Desktop\UdacityVeriler\IMG\left_2024_05_01_22_07_26_584.jpg, C:\Users\Lenovo\Desktop\UdacityVeriler\IMG\right_2024_05_01_22_07_26_584.jpg, 0, 0, 0, 7.782152E-05
C:\Users\Lenovo\Desktop\UdacityVeriler\IMG\center_2024_05_01_22_07_26_687.jpg, C:\Users\Lenovo\Desktop\UdacityVeriler\IMG\left_2024_05_01_22_07_26_687.jpg, C:\Users\Lenovo\Desktop\UdacityVeriler\IMG\right_2024_05_01_22_07_26_687.jpg, 0, 0, 0, 7.954507E-05
C:\Users\Lenovo\Desktop\UdacityVeriler\IMG\center_2024_05_01_22_07_26_788.jpg, C:\Users\Lenovo\Desktop\UdacityVeriler\IMG\left_2024_05_01_22_07_26_788.jpg, C:\Users\Lenovo\Desktop\UdacityVeriler\IMG\right_2024_05_01_22_07_26_788.jpg, 0, 0, 0, 7.994191E-05
C:\Users\Lenovo\Desktop\UdacityVeriler\IMG\center_2024_05_01_22_07_26_888.jpg, C:\Users\Lenovo\Desktop\UdacityVeriler\IMG\left_2024_05_01_22_07_26_888.jpg, C:\Users\Lenovo\Desktop\UdacityVeriler\IMG\right_2024_05_01_22_07_26_888.jpg, 0, 0, 0, 7.786472E-05
C:\Users\Lenovo\Desktop\UdacityVeriler\IMG\center_2024_05_01_22_07_26_992.jpg, C:\Users\Lenovo\Desktop\UdacityVeriler\IMG\left_2024_05_01_22_07_26_992.jpg, C:\Users\Lenovo\Desktop\UdacityVeriler\IMG\right_2024_05_01_22_07_26_992.jpg, 0, 0, 0, 7.792821E-05
C:\Users\Lenovo\Desktop\UdacityVeriler\IMG\center_2024_05_01_22_07_27_096.jpg, C:\Users\Lenovo\Desktop\UdacityVeriler\IMG\left_2024_05_01_22_07_27_096.jpg, C:\Users\Lenovo\Desktop\UdacityVeriler\IMG\right_2024_05_01_22_07_27_096.jpg, 0, 0, 0, 7.875904E-05
